,Units,Location,Direction,Theta_0,Theta_1,Family,Blocks,Inactive,Description
B.10.31.011b,ea,1,"1,2",12,,,,,"Steel Column Base Plates, Column 150 plf < W < 300 plf"
B.10.31.021a,ea,8,"1,2",12,,,,,"Welded column splices, Column W < 150 plf"
B.10.31.021b,ea,3,"1,2",12,,,,,"Welded column splices, Column 150 plf < W < 300 plf"
B.10.31.021b,ea,5,"1,2",12,,,,,"Welded column splices, Column 150 plf < W < 300 plf"
B.10.33.111a,ea,7,"1,2",8,,,,,"Steel Buckling Restrained Brace (BRB), Single Diagonal Brace, Weight of brace < 40 plf."
B.10.33.111a,ea,8,"1,2",8,,,,,"Steel Buckling Restrained Brace (BRB), Single Diagonal Brace, Weight of brace < 40 plf."
B.10.33.111a,ea,9,"1,2",8,,,,,"Steel Buckling Restrained Brace (BRB), Single Diagonal Brace, Weight of brace < 40 plf."
B.10.33.111b,ea,1,"1,2",8,,,,,"Steel Buckling Restrained Brace (BRB), Single Diagonal brace, Weight of brace > 41 plf and < 99 plf."
B.10.33.111b,ea,2,"1,2",8,,,,,"Steel Buckling Restrained Brace (BRB), Single Diagonal brace, Weight of brace > 41 plf and < 99 plf."
B.10.33.111b,ea,3,"1,2",8,,,,,"Steel Buckling Restrained Brace (BRB), Single Diagonal brace, Weight of brace > 41 plf and < 99 plf."
B.10.33.111b,ea,4,"1,2",8,,,,,"Steel Buckling Restrained Brace (BRB), Single Diagonal brace, Weight of brace > 41 plf and < 99 plf."
B.10.33.111b,ea,5,"1,2",8,,,,,"Steel Buckling Restrained Brace (BRB), Single Diagonal brace, Weight of brace > 41 plf and < 99 plf."
B.10.33.111b,ea,6,"1,2",8,,,,,"Steel Buckling Restrained Brace (BRB), Single Diagonal brace, Weight of brace > 41 plf and < 99 plf."
